Month,Keyword status,Keyword,Max. CPC,Interactions,Interaction rate,Avg. cost,Cost,Impressions,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Oct-25,Paused,"""competitive price analytics""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""competitive price analytics""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""competitive price analytics""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""competitive price analytics""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""competitive price analytics""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""competitive price analytics""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""automated pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""automated pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""automated pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""automated pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""automated pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""automated pricing engine""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""enterprise price monitoring""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""enterprise price monitoring""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""enterprise price monitoring""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""enterprise price monitoring""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""enterprise price monitoring""",15,0, --,0,0,0,0,0.00%,0,0,0
Mar-26,Paused,"""enterprise price monitoring""",15,0, --,0,0,0,0,0.00%,0,0,0
Oct-25,Paused,"""omnichannel pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Nov-25,Paused,"""omnichannel pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Dec-25,Paused,"""omnichannel pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Jan-26,Paused,"""omnichannel pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
Feb-26,Paused,"""omnichannel pricing system""",15,0, --,0,0,0,0,0.00%,0,0,0
