Search keyword report
"October 1, 2025 - March 8, 2026"
Month,Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Interactions,Interaction rate,Avg. cost,Cost,Impr.,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
October 2025,Paused,"""competitive price analytics""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""competitive price analytics""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""competitive price analytics""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""competitive price analytics""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""competitive price analytics""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""competitive price analytics""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""automated pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""automated pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""automated pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""automated pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""automated pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""automated pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""enterprise price monitoring""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""enterprise price monitoring""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""enterprise price monitoring""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""enterprise price monitoring""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""enterprise price monitoring""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""enterprise price monitoring""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""omnichannel pricing system""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""omnichannel pricing system""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""omnichannel pricing system""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""omnichannel pricing system""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""omnichannel pricing system""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""omnichannel pricing system""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""price elasticity system""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""price elasticity system""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""price elasticity system""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""price elasticity system""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""price elasticity system""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""price elasticity system""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""algorithmic pricing system""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""algorithmic pricing system""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""algorithmic pricing system""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""algorithmic pricing system""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""algorithmic pricing system""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""algorithmic pricing system""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""markdown pricing system""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""markdown pricing system""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""markdown pricing system""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""markdown pricing system""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""markdown pricing system""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""markdown pricing system""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""algorithmic pricing tools""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""algorithmic pricing tools""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""algorithmic pricing tools""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""algorithmic pricing tools""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""algorithmic pricing tools""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""algorithmic pricing tools""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""algorithmic pricing platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""algorithmic pricing platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""algorithmic pricing platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""algorithmic pricing platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""algorithmic pricing platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""algorithmic pricing platform""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""markdown pricing engine""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""markdown pricing engine""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""markdown pricing engine""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""markdown pricing engine""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""markdown pricing engine""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""markdown pricing engine""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""retail pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""retail pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""retail pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""retail pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""retail pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""retail pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""omnichannel pricing engine""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""omnichannel pricing engine""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""omnichannel pricing engine""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""omnichannel pricing engine""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""omnichannel pricing engine""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""omnichannel pricing engine""",Phrase match,exact,Exact,Paused,paused; rarely served,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""price elasticity engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""price elasticity engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""price elasticity engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""price elasticity engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
February 2026,Paused,"""price elasticity engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
March 2026,Paused,"""price elasticity engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
October 2025,Paused,"""algorithmic pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
November 2025,Paused,"""algorithmic pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
December 2025,Paused,"""algorithmic pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
January 2026,Paused,"""algorithmic pricing engine""",Phrase match,exact,Exact,Paused,paused,USD,15.00,,0, --,0,0.00,0,0,0.00%,0.00,0,0.00
