,,,,,,,,,,,,
Google Ads,,,,,,,,,,,,
,,,,,,,,,,,,
September,Campaign,Cost,Impr.,Clicks,CTR,Avg. CPC,HS leads,CPL ,SAL,Open deal,Cost per SAL,
,Keywords-WW,"$1,475",8106,196,2.42%,$7.5,0,,0,0,#DIV/0!,
,Brand-WW,"$1,218",1220,212,17.38%,$5.8,4,$305,2,0,$609,
,Competitors-WW,$939,3049,53,1.74%,$17.7,0,,0,0,#DIV/0!,
,Competitors_new_lps-WW,$890,1665,69,4.14%,$12.9,0,,0,0,#DIV/0!,
,Keywords- WW2,$754,1614,53,3.28%,$14.2,0,,0,0,#DIV/0!,
,Search_Shoptalk2025,$31,311,8,2.57%,$3.9,0,,0,0,#DIV/0!,
,Competitors_new_lps - NE,$29,6,2,33.33%,$14.6,0,,0,0,#DIV/0!,
,Total,"$5,336",15971,593,3.71%,$9.0,4,"$1,334",2,0,"$2,668",
,,,,,,,,,,,,
October,Campaign,Cost,Impr.,Clicks,CTR,Avg. CPC,HS leads,CPL ,SAL,Open deal,Cost per SAL,
,Brand-WW,"$2,207",4803,278,5.79%,$7.9,1,"$2,207",1,0,"$2,207",
,Keywords-WW,"$1,157",5789,162,2.8%,$7.1,0,,0,0,#DIV/0!,
,Competitors_new_lps-WW,$912,1633,67,4.1%,$13.6,0,,0,0,#DIV/0!,
,Keywords- WW2,$912,2056,66,3.21%,$13.8,1,$912,0,0,#DIV/0!,
,Competitors-WW,$710,2447,39,1.59%,$18.2,1,$710,0,0,#DIV/0!,
,Competitors_new_lps - NE,$103,217,7,3.23%,$14.7,0,,0,0,#DIV/0!,
,Total,"$6,000",16945,619,3.65%,$9.7,3,"$2,000",1,$0.0,"$6,000",
,,,,,,,,,,,,
November,Campaign,Cost,Impr.,Clicks,CTR,Avg. CPC,HS leads,CPL ,SAL,Open deal,Cost per SAL,
,Brand-WW,"$1,035",786,185,23.54%,$5.6,1,"$1,035",1,1,"$1,035",
,Keywords- WW2,$912,1920,69,3.59%,$13.2,0,,0,0,#DIV/0!,
,Competitors_new_lps-WW,$883,1725,67,3.88%,$13.2,0,,0,0,#DIV/0!,
,Competitors_new_lps - NE,$87,171,6,3.51%,$14.5,0,,0,0,#DIV/0!,
,Total,"$2,917",4602,327,7.11%,$8.9,1,"$2,917",1,1,"$2,917",
,,,,,,,,,,,,
December,Campaign,Cost,Impr.,Clicks,CTR,Avg. CPC,HS leads,CPL ,SAL,Open deal,Cost per SAL,
,Keywords- WW2,$911,1425,65,4.56%,$14.0,1,$911,0,0,0,
,Competitors_new_lps-WW,$863,1802,62,3.44%,$13.9,0,$0,0,0,0,
,Brand-WW,$747,604,128,21.19%,$5.8,0,$0,0,0,0,
,Competitors_new_lps - NE,$4,109,1,0.92%,$3.6,0,$0,0,0,0,
,Total,"$2,525",3940,256,6.50%,$9.9,1,"$2,525",0,0,0,
,,,,,,,,,,,,
January,Campaign,Cost,Impr.,Clicks,CTR,Avg. CPC,HS leads,CPL ,SAL,Open deal,Cost per SAL,
,Keywords- WW2,$419,927,26,2.80%,$16.12,0,$0,0,0,0,
,Competitors_new_lps-WW,$399,746,28,3.75%,$14.25,1,$0,0,0,0,
,exact,$394,1175,28,2.38%,$14.05,0,$0,0,0,0,
,Brand-WW,$275,211,47,22.27%,$5.85,0,$0,0,0,0,
,Total,"$1,487","2,848",82,2.88%,$18.13,1,"$1,487",0,0,0,
,,,,,,,,,,,,
Feb,Campaign,Cost,Impr.,Clicks,CTR,Avg. CPC,HS leads,CPL ,SAL,Open deal,Cost per SAL,
,Competitors_new_lps-WW,$909,1405,66,4.70%,$13.77,1,$909,,,,
,exact,$597,1110,46,4.14%,$12.98,1,$597,,,,
,Brand-WW,"$1,012",495,128,25.86%,$7.91,1,"$1,012",1,1,"$1,012",iPet.ch GmbH
,Total,"$2,518","2,515",112,4.45%,$22.48,3,$839,1,1,"$2,518",
