Month,Location,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Oct-25,Canada,Brand-WW,510,14,2.75%,USD,9.78,136.96,0.00%,0,0
Mar-26,Canada,Brand-WW,0,0, --,USD,0,0,0.00%,0,0
Feb-26,Canada,Brand-WW,18,5,27.78%,USD,7.14,35.68,0.00%,0,0
Jan-26,Canada,Brand-WW,27,8,29.63%,USD,2.52,20.12,0.00%,0,0
Dec-25,Canada,Brand-WW,16,4,25.00%,USD,2.43,9.73,0.00%,0,0
Nov-25,Canada,Brand-WW,19,7,36.84%,USD,3.9,27.28,0.00%,0,0
Feb-26,Iceland,Brand-WW,0,0, --,USD,0,0,0.00%,0,0
Mar-26,Iceland,Brand-WW,0,0, --,USD,0,0,0.00%,0,0
Oct-25,Iceland,Brand-WW,15,0,0.00%,USD,0,0,0.00%,0,0
Dec-25,Iceland,Brand-WW,2,0,0.00%,USD,0,0,0.00%,0,0
Nov-25,Iceland,Brand-WW,0,0, --,USD,0,0,0.00%,0,0
Jan-26,Iceland,Brand-WW,4,2,50.00%,USD,2.78,5.55,0.00%,0,0
Feb-26,United Kingdom,Brand-WW,97,31,31.96%,USD,9.51,294.96,0.00%,0,0
Jan-26,United Kingdom,Brand-WW,171,46,26.90%,USD,7.39,340.1,0.00%,0,0
Mar-26,United Kingdom,Brand-WW,41,7,17.07%,USD,7.97,55.81,0.00%,0,0
Nov-25,United Kingdom,Brand-WW,196,44,22.45%,USD,6.96,306.2,0.00%,0,0
Dec-25,United Kingdom,Brand-WW,114,25,21.93%,USD,7.19,179.73,0.00%,0,0
Oct-25,United Kingdom,Brand-WW,461,34,7.38%,USD,8.26,280.88,0.00%,0,0
Oct-25,Denmark,Brand-WW,103,10,9.71%,USD,6.24,62.45,0.00%,0,0
Jan-26,Denmark,Brand-WW,58,13,22.41%,USD,5.9,76.65,0.00%,0,0
Dec-25,Denmark,Brand-WW,29,8,27.59%,USD,5.83,46.6,0.00%,0,0
Mar-26,Denmark,Brand-WW,4,1,25.00%,USD,3.15,3.15,0.00%,0,0
Nov-25,Denmark,Brand-WW,21,5,23.81%,USD,3.29,16.44,0.00%,0,0
Feb-26,Denmark,Brand-WW,45,9,20.00%,USD,5.14,46.3,0.00%,0,0
Dec-25,Belgium,Brand-WW,11,2,18.18%,USD,9.68,19.35,0.00%,0,0
Mar-26,Belgium,Brand-WW,4,1,25.00%,USD,4.49,4.49,0.00%,0,0
Jan-26,Belgium,Brand-WW,0,0, --,USD,0,0,0.00%,0,0
Oct-25,Belgium,Brand-WW,80,6,7.50%,USD,8.18,49.07,0.00%,0,0
Feb-26,Belgium,Brand-WW,10,3,30.00%,USD,7.9,23.71,0.00%,0,0
Nov-25,Belgium,Brand-WW,9,5,55.56%,USD,5.09,25.46,0.00%,0,0
Oct-25,Czechia,Brand-WW,120,8,6.67%,USD,4.97,39.75,0.00%,0,0
Feb-26,Czechia,Brand-WW,6,2,33.33%,USD,7.37,14.74,0.00%,0,0
Dec-25,Czechia,Brand-WW,6,2,33.33%,USD,5.58,11.15,0.00%,0,0
Nov-25,Czechia,Brand-WW,1,1,100.00%,USD,2.01,2.01,0.00%,0,0
Jan-26,Czechia,Brand-WW,3,1,33.33%,USD,3.96,3.96,0.00%,0,0
Mar-26,Czechia,Brand-WW,0,0, --,USD,0,0,0.00%,0,0
Nov-25,Italy,Brand-WW,25,8,32.00%,USD,5.5,44.02,0.00%,0,0
Feb-26,Italy,Brand-WW,16,5,31.25%,USD,5.06,25.3,0.00%,0,0
Oct-25,Italy,Brand-WW,232,12,5.17%,USD,8.21,98.53,0.00%,0,0
Mar-26,Italy,Brand-WW,1,1,100.00%,USD,2.46,2.46,0.00%,0,0
Dec-25,Italy,Brand-WW,2,0,0.00%,USD,0,0,0.00%,0,0
Jan-26,Italy,Brand-WW,13,1,7.69%,USD,13.27,13.27,0.00%,0,0
Dec-25,France,Brand-WW,42,9,21.43%,USD,6.68,60.1,0.00%,0,0
Mar-26,France,Brand-WW,4,1,25.00%,USD,6.68,6.68,0.00%,0,0
Jan-26,France,Brand-WW,35,6,17.14%,USD,11.04,66.26,0.00%,0,0
Oct-25,France,Brand-WW,277,24,8.66%,USD,8.39,201.41,0.00%,0,0
Feb-26,France,Brand-WW,17,5,29.41%,USD,11.6,57.99,0.00%,0,0
Nov-25,France,Brand-WW,76,19,25.00%,USD,6.69,127.13,0.00%,0,0
Feb-26,Hungary,Brand-WW,2,0,0.00%,USD,0,0,0.00%,0,0
